,user_name,screen_name,user_location,user_description,user_verified,date,text,hashtags,source
0,88VIBZ,LShibe88,,"A no~body ! here, to re💎erberate the ech🌒es of APE-DOG nation🦍🐕👐🏼 ..............☁️🚀 #AMC888K #DoOnlyGoodEveryday",False,2022-07-11 21:17:28+00:00,"@scott4pendleton @TomFitton Trump &amp; Biden • 
Both are sick pedophiles•",,Twitter for iPhone
1,ULTRA MEGA MAGA 2024,JimMorr87833987,Mar - a - Lago #45 & #47,"Main Force Patrol              

                 #TRUMP 2016 - 2020 - 2024",False,2022-07-11 21:17:28+00:00,"@JoeBiden
@DHSgov
@Comey
@FBI
@TheJusticeDept
@CNN
@TheDemocrats
@nbc
@newsmax
@FoxNews
@joerogan
@OANN
@Bruce_LeVell
@elonmusk
@marklevinshow
@DumbassPhotoshp
@tedcruz
@DineshDSouza
He's back in his Delaware basement ALOT!

   ●MISSING CHILDREN●
CHECK BIDEN'S BASEMENT! https://t.co/aPUTbLO9It",,Twitter for Android
2,Liam,e_Liam_,Earth,"ENTP-A metaphysical realist

~ Truth is one, though the sages tell it variously.

Interaction ≠ Endorsement",False,2022-07-11 21:17:27+00:00,@EssexPR Does Hunter Biden's Son have videos of Trump doing drugs with prostitutes?,,Twitter for Android
3,Dr. Stanch 24/7,Stanch247,"Solana Beach, CA",No quarter asked. None given. Followed by @RichardGrenell @kurtschlichter @emeraldrobinson @pvtjokerus @44MagnumBlue1 @laralogan & others who love America.,False,2022-07-11 21:17:27+00:00,"@JesseKellyDC Ah, yes. The sniff-grope two-fer.

Biden isn’t just a corrupt, demented, lying, America-destroying pos, he’s a dirty pedo.

You’ve noticed how hard they try to keep kids away from Biden now and, for his dementia, work to keep him away from public view after the sun goes down.",,Twitter for iPhone
4,purecarp,purecarp,,Matt 6:10 #MAGA #Trump #1A #2A ; No to socialism=satanism=sharia law=liberalism=evil,False,2022-07-11 21:17:26+00:00,"One thing that Pedo Peter Joe Refuse to understand: 

The second amendment was written to be a check and balance from tyranny and people like Joe.

Biden Says He’s ‘Determined’ to Renew ‘Assault Weapons’ Ban

https://t.co/y1zCR7zxV7",,Twitter for Android
5,Antonio Navarro Jr,Antonio00006654,,I am 78,False,2022-07-11 21:17:26+00:00,Biden voters regret their 2020 choice 18 months into presidency | Digita... https://t.co/gGsHWzvBjx via @YouTube,,Twitter Web App
6,Public Interest,public2024,,,False,2022-07-11 21:17:25+00:00,"Israel says Biden visit may augur common Mideast market, with Saudis https://t.co/CsiZLJ1nTi",,Twitter Web App
7,➑ The 2022 Shitshow ➑,UseLogicPlease1,,ULTRA!,False,2022-07-11 21:17:25+00:00,"@Emma34770971 @Woody4123 @Annette40943931 @TastyMorsel6 @KatSimkhovitch @SoyBoyRoy1 @JackWhoElse @WHurensohn @phillip_boldt @Evry1H8sGrtzLOL @TommyJD5150 @PridgeWessea @richardrahl1086 @ShayCormac_1 @RealDoctorT @CivilLost @dogsdontliket @SandraNotSandy1 @EnrelChi @RepublicanRehab @JenCages @EducatingTrump2 @Decide4Self @Q_Estrada @Annie20554592 @1717mule @spanna65 @CleeseRaymond @shrekvivre @tiredcubed @Jennie_SC1 @LifeNyc2 @LadyOfTheOcean1 @SnoJustis @JoeBauers_ @schmevilagain @Aimhighffw @yammerapple @SumatraSue @TrumpWonUKnowIt @jeffschlueter1 @Sketchyjgaming @TxGuitarist21 @LeannEAF @mpg25mary @MissJuliaLee @Jetson77 @AggressiveDem @TheDickKnightV2 @BrandonLetsgo90 Biden is absolutely the worst fucking president I’ve ever seen in my entire life

And all of them were completely garbage my entire life

So

That’s bad 

Real bad 

Trump was good tho",,Twitter Web App
8,Biden’s Minions,LetzCoBranden,,"Y’all Gon Make Me Lose My Cool, Up In Here, Up In Here.",False,2022-07-11 21:17:25+00:00,"@OtsegoBound https://t.co/pgiaJEwR8A

You’re a rube",,Twitter Web App
9,Cody,SeesacksRun,Walking in Memphis ,it’s stoner bashing time,False,2022-07-11 21:17:25+00:00,Honestly fuck Joe Biden. Just throw the whole administration away.,,Twitter for iPhone
